popid,pop
1896,0
1897,721
1898,366
1899,255
1900,138
1901,1194
1902,495
1903,140
1904,0
1905,0
1906,2
1907,0
1908,3
1909,0
1910,770
1911,300
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,1
1920,4
1921,0
1922,111
1923,1
1924,0
1925,349
1926,198
1927,174
1928,326
1929,43
1930,0
1931,0
1932,0
1933,2
1934,0
1935,899
1936,66
1937,14
1938,255
1939,188
1940,212
1941,191
1942,374
1943,50
1944,1003
1945,422
1946,137
1947,0
1948,51
1949,561
1950,251
1951,0
1952,83
1953,225
1954,37
1955,190
1956,195
1957,7
1958,71
1959,146
1960,130
1961,435
1962,100
1963,144
1964,361
1965,75
1966,30
1967,0
1968,188
1969,464
1970,1181
1971,600
1972,233
1973,135
1974,142
1975,372
1976,292
1977,205
1978,254
1979,130
1980,114
1981,130
1982,246
1983,108
1984,172
1985,235
1986,133
1987,157
1988,290
1989,155
1990,116
1991,67
1992,228
1993,247
1994,228
1995,220
1996,271
1997,167
1998,148
1999,79
2000,26
2001,171
2002,77
2003,198
2004,338
2005,181
2006,74
2007,26
2008,132
2009,73
2010,27
2011,0
2012,0
2013,115
2014,123
2015,119
2016,165
2017,75
2018,63
2019,0
2020,116
2021,127
2022,134
2023,213
2024,105
2025,366
2026,72
2027,50
2028,112
2029,117
2030,143
2031,184
2032,150
2033,170
2034,51
2035,104
2036,13
2037,107
2038,168
2039,117
2040,106
2041,202
2042,142
2043,70
2044,60
2045,96
2046,11
2047,131
2048,586
2049,349
2050,116
2051,463
2052,158
2053,15
2054,0
2055,413
2056,356
2057,0
2058,409
2059,255
2060,110
2061,98
2062,247
2063,467
2064,545
2065,1496
2066,346
2067,387
2068,0
2069,14
2070,0
2071,0
2072,222
2073,0
2074,30
2075,93
2076,0
2077,0
2078,0
2079,0
2080,0
2081,0
2082,0
2083,0
2084,0
2085,0
2086,23
2087,103
2088,74
2089,83
2090,0
2091,0
2092,0
2093,236
2094,0
2095,26
2096,20
2097,41
2098,57
2099,35
2100,51
2101,75
2102,37
2103,41
2104,43
2105,140
2106,83
2107,62
2108,57
2109,52
2110,39
2111,52
2112,56
2113,90
2114,87
2115,37
2116,36
2117,43
2118,142
2119,104
2120,118
2121,149
2122,76
2123,53
2124,64
2125,53
2126,57
2127,33
2128,59
2129,61
2130,94
2131,51
2132,48
2133,31
2134,0
2135,34
2136,55
2137,49
2138,72
2139,31
2140,37
2141,18
2142,35
2143,0
2144,41
2145,92
2146,89
2147,56
2148,74
2149,161
2150,46
2151,55
2152,42
2153,162
2154,12
2155,46
2156,48
2157,9
2158,58
2159,42
2160,82
2161,60
2162,33
2163,53
2164,76
2165,0
2166,160
2167,6
2168,36
2169,0
2170,0
2171,0
2172,223
2173,30
2174,18
2175,0
2176,60
2177,175
2178,34
2179,3
2180,281
2181,65
2182,174
2183,34
2184,139
2185,31
2186,2
2187,10
2188,48
2189,133
2190,130
2191,72
2192,116
2193,153
2194,89
2195,0
2196,155
2197,93
2198,63
2199,107
2200,98
2201,115
2202,104
2203,29
2204,16
2205,47
2206,138
2207,98
2208,64
2209,14
2210,0
2211,111
2212,28
2213,20
2214,16
2215,12
2216,140
2217,217
2218,89
2219,126
2220,78
2221,98
2222,83
2223,117
2224,54
2225,24
2226,26
2227,91
2228,91
2229,139
2230,107
2231,28
2232,145
2233,129
2234,108
2235,16
2236,52
2237,0
2238,159
2239,59
2240,48
2241,100
2242,116
2243,85
2244,2
2245,43
2246,107
2247,98
2248,45
2249,56
2250,292
2251,299
2252,88
2253,25
2254,36
2255,28
2256,85
2257,98
2258,72
2259,90
2260,129
2261,43
2262,301
2263,79
2264,164
2265,90
2266,71
2267,103
2268,141
2269,108
2270,26
2271,37
2272,122
2273,155
2274,0
2275,68
2276,159
2277,94
2278,65
2279,87
2280,176
2281,38
2282,85
2283,136
2284,92
2285,32
2286,100
2287,167
2288,28
2289,0
2290,0
2291,27
2292,52
2293,46
2294,94
2295,98
2296,90
2297,134
2298,139
2299,143
2300,121
2301,7
2302,134
2303,145
2304,113
2305,156
2306,160
2307,24
2308,90
2309,124
2310,306
2311,51
2312,31
2313,46
2314,64
2315,46
2316,33
2317,86
2318,70
2319,69
2320,50
2321,33
2322,71
2323,62
2324,105
2325,37
2326,47
2327,72
2328,96
2329,0
2330,39
2331,249
2332,126
2333,43
2334,76
2335,33
2336,128
2337,56
2338,36
2339,74
2340,94
2341,116
2342,54
2343,83
2344,55
2345,0
2346,24
2347,0
2348,0
2349,0
2350,60
2351,71
2352,73
2353,60
2354,77
2355,57
2356,45
2357,21
2358,67
2359,25
2360,47
2361,7
2362,58
2363,97
2364,18
2365,38
2366,12
2367,90
2368,107
2369,65
2370,26
2371,28
2372,55
2373,69
2374,64
2375,75
2376,18
2377,96
2378,64
2379,46
2380,67
2381,67
2382,55
2383,27
2384,84
2385,77
2386,84
2387,79
2388,0
2389,2
2390,0
2391,50
2392,0
2393,214
2394,67
2395,34
2396,35
2397,35
2398,47
2399,12
2400,27
2401,34
2402,75
2403,73
2404,56
2405,63
2406,105
2407,58
2408,87
2409,42
2410,59
2411,64
2412,54
2413,55
2414,66
2415,96
2416,80
2417,25
2418,52
2419,14
2420,0
2421,0
2422,0
2423,104
2424,76
2425,101
2426,99
2427,195
2428,79
2429,41
2430,0
2431,134
2432,111
2433,0
2434,183
2435,149
2436,105
2437,111
2438,207
2439,96
2440,63
2441,177
2442,202
2443,50
2444,98
2445,104
2446,67
2447,0
2448,97
2449,90
2450,135
2451,66
2452,121
2453,88
2454,96
2455,77
2456,80
2457,102
2458,83
2459,171
2460,209
2461,261
2462,136
2463,104
2464,0
2465,0
2466,65
2467,54
2468,41
2469,53
2470,20
2471,47
2472,29
2473,20
2474,29
2475,40
2476,51
2477,38
2478,40
2479,25
2480,27
2481,24
2482,46
2483,107
2484,14
2485,56
2486,0
2487,54
2488,0
2489,106
2490,48
2491,72
2492,59
2493,39
2494,88
2495,77
2496,63
2497,73
2498,70
2499,37
2500,25
2501,94
2502,55
2503,10
2504,37
2505,0
2506,64
2507,84
2508,171
2509,52
2510,0
2511,35
2512,109
2513,55
2514,31
2515,0
2516,0
2517,40
2518,67
2519,2
2520,8
2521,102
2522,75
2523,92
2524,94
2525,16
2526,68
2527,88
2528,58
2529,94
2530,0
2531,51
2532,73
2533,126
2534,85
2535,78
2536,5
2537,67
2538,22
2539,117
2540,103
2541,104
2542,50
2543,53
2544,108
2545,95
2546,73
2547,92
2548,167
2549,14
2550,15
2551,48
2552,61
2553,52
2554,95
2555,167
2556,152
2557,127
2558,102
2559,17
2560,32
2561,14
2562,47
2563,0
2564,64
2565,57
2566,42
2567,82
2568,88
2569,86
2570,78
2571,62
2572,4
2573,21
2574,0
2575,49
2576,75
2577,252
2578,16
2579,15
2580,30
2581,121
2582,72
2583,69
2584,82
2585,56
2586,166
2587,62
2588,72
2589,108
2590,54
2591,42
2592,49
2593,27
2594,0
2595,50
2596,62
2597,87
2598,55
