docid,doc
60415,1
60461,2
60464,2
60465,7
60466,6
60491,8
60509,9
60511,22
60512,12
60513,10
60514,3
60527,1
60529,8
60530,5
60531,1
60563,2
60574,4
60585,1
60598,1
60638,1
60676,3
60683,3
60690,81
60702,14
60703,1
60727,2
60747,3
60748,1
60809,1
60861,1
60875,1
60882,1
60887,1
60914,2
60931,2
60950,1
60995,1
61010,2
61011,1
61024,2
61026,61
61030,4
61068,3
61073,2
61127,1
61158,1
61210,1
61226,1
61227,3
61345,1
61399,2
61449,1
61612,1
61643,5
61739,2
61741,2
61745,3
61783,1
61802,2
61846,1
61862,5
61871,3
61872,1
61918,2
61954,1
61956,1
61957,1
62024,3
62046,2
62047,3
62119,7
62186,1
62208,3
62507,1
62510,2
62589,1
62596,2
62613,5
62673,3
62767,2
62821,1
62846,1
62923,1
62924,3
62926,2
62927,4
62929,2
62930,1
62970,1
62986,2
62992,1
63034,3
63036,2
63059,1
63063,2
63065,3
63066,2
63067,3
63095,2
63115,2
63134,1
63146,1
63165,3
63168,3
63195,1
63253,1
63352,2
63363,1
63454,1
63468,3
63469,3
63471,1
63487,62
63501,44
63506,30
63530,7
63533,2
63534,2
63535,21
63596,2
63610,1
63616,1
63622,1
63645,4
63770,1
63814,5
63881,1
63921,3
63982,1
64005,1
64030,6
64031,7
64033,1
64037,16
64047,1
64063,1
64072,1
64304,1
64332,2
64335,2
64358,2
64392,1
64465,3
64523,1
64550,12
64637,7
64643,5
64659,6
64743,2
64750,5
64843,2
64936,1
64937,1
64941,2
64951,3
65066,20
65069,2
65070,27
65074,1
65091,2
65155,2
65306,1
65310,5
65359,1
65407,2
65463,2
65533,1
65717,1
65787,1
66078,2
66296,1
66301,1
66303,14
66319,1
66362,2
66506,2
66674,2
66680,4
66685,14
66706,71
66718,773
66767,1
66769,1
66844,1
66887,1
66889,2
67020,2
67031,1
67110,2
67113,2
67115,4
67156,2
67163,2
67203,1
67235,1
67408,2
67424,2
67473,7
67495,1
67567,15
67568,4
67575,4
67587,3
67611,8
67651,1
67700,1
67757,2
67821,1
67827,1
67834,1
67845,1
67867,1
67890,1
67993,1
68050,1
68085,7
68088,9
68104,3
68245,2
68255,2
68316,1
68355,1
68502,1
68504,2
68553,1
68557,2
68730,1
68750,1
68755,4
68757,1
68759,2
68761,2
68783,6
68851,1
68907,1
68935,1
68986,8
69028,3
69030,5
69053,1
69061,1
69067,1
69094,5
69130,1
69141,1
69198,1
69229,1
69245,1
69290,5
69313,3
69340,1
69348,2
69356,4
69362,1
69368,1
69370,9
69394,2
69414,1
69475,1
69525,15
69530,11
69531,76
69575,5
69576,1
69591,1
69596,1
69639,1
69655,2
69669,1
69719,19
69740,2
69741,3
69742,2
69770,1
69789,1
69819,1
69869,4
70090,1
70168,1
70173,1
70241,1
70297,1
70360,1
70387,1
70388,1
70477,2
70700,1
70724,3
70729,2
70757,1
70825,1
70869,2
70944,1
70954,1
70987,4
71048,1
71189,1
71242,1
71351,2
71379,1
71386,1
71409,1
71435,3
71496,1
71525,4
71565,1
71592,1
71628,2
71747,1
71887,1
71928,1
71956,1
71957,2
71960,2
71972,12
71976,1
71983,2
71990,1
72095,1
72098,1
72105,15
72106,25
72107,9
72109,1
72127,1
72220,1
72703,1
72809,8
72839,1
72897,2
72898,4
72902,1
72903,1
72904,2
72905,5
72916,3
72921,1
72927,80
72929,2
72953,3
73005,1
73010,1
73021,3
73025,7
73076,1
73080,2
73081,14
73130,1
73157,3
73191,26
73212,1
73293,6
73296,9
73300,5
73305,1
73349,404
73350,8
73370,2
73371,5
73372,13
73374,3
73386,1
73395,8
73398,5
73422,1
73423,13
73500,2
73549,1
73582,1
73586,2
73589,1
73596,2
73599,1
73603,5
73636,3
73643,2
73648,1
73658,5
73659,7
73672,2
73700,7
73717,3
73718,5
73719,1
73819,3
73820,3
73824,6
73831,5
73855,1
73869,2
73879,2
73883,2
73906,1
73915,2
73942,1
73964,1
74022,5
74114,8
74123,2
74125,2
74126,4
74129,4
74131,9
74137,2
74138,10
74148,2
74150,5
74154,24
74155,1
74208,1
74230,1
74238,5
74306,19
74316,1
74334,1
74344,1
74349,2
74352,11
74408,1
74473,1
74477,2
74513,3
74530,1
74550,2
74591,2
74627,2
74706,2
74847,1
74860,1
74876,1
74908,15
74970,1
74983,1
75058,2
75113,1
75209,3
75343,2
75389,1
75401,7
75449,4
75491,2
75544,1
75558,3
75571,1
75580,9
75586,8
75587,1
75594,9
75597,1
75599,3
75624,2
75638,4
75648,4
75715,6
75732,1
75733,2
75738,1
75759,1
75784,1
75831,2
75837,1
75839,3
75858,2
75864,1
75883,2
75933,1
75953,1
75985,3
76015,1
76031,1
76078,1
76114,1
76126,22
76277,1
76280,2
76287,12
76303,2
76381,2
76401,2
76411,1
76436,1
76443,1
76497,1
76500,7
76502,1
76504,11
76510,1
76527,1
76574,3
76576,1
76579,1
76623,11
76625,7
76630,5
76638,7
76661,14
76662,34
76666,26
76697,2
76699,23
76701,53
76725,1
76809,1
76818,9
76819,3
76825,1
76842,4
76843,3
76857,7
76860,1
76868,1
76936,2
76939,7
76947,1
76977,1
76985,1
76986,1
77153,3
77246,1
77374,4
77391,1
77441,4
77445,1
77455,6
77485,1
77628,1
77690,1
77691,1
77818,3
77830,2
77860,1
77913,4
77925,1
77935,2
77990,17
78046,1
78048,1
78058,2
78088,1
78131,1
78135,1
78141,1
78150,3
78151,2
78183,1
78235,3
78239,19
78240,5
78263,3
78264,4
78268,2
78287,8
78288,1
78305,1
78313,5
78314,5
78325,1
78335,1
78340,6
78345,1
78347,1
78360,3
78364,32
78384,20
78503,2
78681,26
78693,4
78700,18
78701,23
78702,7
78721,11
78736,1
78737,7
78742,13
78753,3
78778,1
78855,1
78919,3
78932,1
79010,1
79022,1
79023,3
79024,1
79026,1
79290,1
79292,8
79293,1
79449,1
79498,3
79500,3
79525,13
79538,4
79578,1
79612,1
79646,2
79656,3
79671,2
79714,1
79715,15
79718,7
79721,1
79727,4
79736,2
79780,8
79916,1
79924,1
79968,1
79976,1
79986,1
79990,1
80058,1
80074,1
80489,3
80593,1
80605,1
80652,1
80698,12
80859,3
80880,1
80882,1
80885,2
80888,2
80903,3
80907,2
80917,4
80997,1
81019,3
81020,5
81260,4
81268,20
81274,1
81275,2
81307,1
81316,1
81320,32
81347,50
81380,1
81940,1
82228,3
82293,1
82424,1
82594,1
82602,2
82703,1
82761,5
82778,4
82855,1
82878,2
82960,1
83007,5
83028,1
83032,1
83116,1
83117,1
83371,2
83675,1
83753,4
83996,1
84178,1
84692,2
84799,14
84801,1
84894,1
84979,10
84986,84
85009,10
85010,1
85011,4
85477,1
85496,1
85575,1
85594,1
85595,1
85597,6
85653,1
85672,1
85686,7
85788,2
85827,9
85853,2
85989,1
86152,1
86241,2
86309,1
86311,1
86332,1
86606,2
86607,3
86623,1
86814,1
86835,3
86856,2
86871,3
86873,3
86880,1
86881,2
