geoid,doc
170313201002031,4
170313201002034,3
170313201003008,1
170313201003010,2
170313201004007,2
170313201004018,1
170313204001006,1
170313204001007,1
170313204001008,11
170313204001013,23
170313204001014,15
170313204001017,2
170313204001035,8
170313204001044,1
170313206001010,2
170313206002011,1
170313206002012,8
170313206002013,2
170313206002014,1
170313301001000,1
170313301001003,5
170313301001010,1
170313301002004,1
170313301002012,2
170313301002020,2
170313301003000,2
170313301003005,1
170313301003006,1
170313301003008,2
170313301003009,1
170313301003011,2
170313301003017,2
170313301003018,3
170313302002006,1
170313302002007,1
170313405001026,3
170313501001008,1
170313514001001,1
170313801001002,1
170313802002000,2
170313807001016,7
170313814001003,1
170313814001012,1
170313817001000,2
170313818002008,2
170313819001007,51
170313819002009,7
170313901001008,1
170313901001017,2
170313905001002,1
170313907001017,1
170314101001001,1
170314101001002,2
170314105002006,9
170314108001000,2
170314108001002,1
170314108001005,20
170314109003014,2
170314110003009,2
170314111001001,2
170314111002003,1
170314112001001,2
170314112001002,3
170314112002008,1
170314201001019,1
170314201001022,2
170314204001000,3
170314302001003,1
170314305001007,1
170314305003008,1
170314306001001,1
170314306001009,1
170314306001010,4
170314306002013,1
170314307002000,2
170314307002003,1
170314308002022,1
170314313013011,1
170314313021008,2
170314401021009,1
170314401022005,1
170314401022006,2
170314401022007,2
170314401022013,1
170314401023006,1
170314402011000,1
170314402011007,1
170314402014001,1
170314402021012,1
170314402022010,3
170314403001013,5
170314403004012,1
170314407002001,1
170314503004002,1
170314503004021,3
170314602002001,1
170314605001002,6
170314605001003,1
170314605001014,10
170314605001015,3
170314610001004,1
170314610001025,7
170314610001026,3
170314610001055,21
170314701002000,8
170314801002004,1
170314801002005,3
170314802001002,1
170314802002000,1
170314802002001,1
170314803001020,1
170314804002021,44
170314804002023,3
170314804003001,22
170314804003002,1
170314804004017,1
170314804005019,1
170314804005020,1
170314909022002,1
170314909022004,1
170314910002023,1
170314912003003,3
170314912003005,2
170314913001000,6
170314914002010,3
170314914002011,2
170315001004001,1
170315002002005,2
170315003002028,6
170315102001009,1
170315103001006,4
170315103003000,4
170315201001010,1
170315203002000,2
170315203002024,2
170315203003000,2
170315204002011,2
170315204002017,1
170315204003002,1
170315204003015,2
170315204004012,4
170315205001004,1
170315401022015,2
170315501003010,1
170315501005014,2
170315501005015,3
170315501006033,1
170315603002000,1
170315607002035,1
170315608001025,1
170315608001027,1
170315608002026,5
170315608003022,3
170315608004016,2
170315608004018,1
170315608005024,1
170315608005028,1
170315609001025,1
170315609001026,3
170315609003023,3
170315609004021,2
170315609004023,1
170315609006006,2
170315609006019,1
170315610001002,2
170315610002000,3
170315610002001,3
170315610003000,4
170315610005000,3
170315610005001,1
170315610005002,5
170315610006001,2
170315611006000,1
170315701001015,2
170315702001027,3
170315702001053,1
170315703003017,2
170315704002019,1
170315705001011,2
170315705002018,2
170315804004012,1
170315804004016,4
170315805012005,3
170315805012006,1
170315805012012,1
170315805021004,2
170315805021013,1
170315805021015,4
170315805023006,3
170315805023012,1
170315906001003,1
170316004002011,1
170316006002015,1
170316103003015,3
170316103003033,3
170316104001013,2
170316112002007,2
170316113001002,1
170316114001001,2
170316119001004,2
170316201001009,2
170316202001000,1
170316202001024,6
170316203001000,1
170316203002009,1
170316203002018,1
170316204004002,14
170316204004009,1
170316204004010,2
170316204004013,1
170316303002000,3
170316303002018,4
170316303002035,1
170316304004004,1
170316305004001,1
170316308004017,1
170316403003016,2
170316404001035,1
170316405001032,5
170316408001002,1
170316501003014,1
170316501004002,1
170316501004005,3
170316502002000,3
170316502002022,1
170316502002024,1
170316502003016,1
170316502003019,1
170316503011000,3
170316503011003,1
170316503013000,4
170316503014016,2
170316503021031,11
170316503022030,2
170316504005002,1
170316504005010,3
170316504005019,1
170316505001020,2
170316603011015,1
170316604002015,1
170316605001000,3
170316606004001,1
170316606004002,1
170316607001022,1
170316609003013,26
170316609003014,7
170316610002008,1
170316707002014,1
170316715001000,1
170316715003021,1
170316809002007,27
170316809002008,6
170316809002018,1
170316809004008,3
170316810002000,2
170316812004006,4
170316903002010,2
170316904001012,1
170316909005016,1
170316913001003,3
170316914004008,1
170316915003005,2
170317001002037,3
170317003013004,1
170317003021013,4
170317003024045,4
170317004014005,2
170317004021000,1
170317004021029,1
170317004023025,2
170317005011002,1
170317005011004,3
170317005011005,4
170317005022026,2
170317005022029,5
170317101001021,1
170317102001013,1
170317104006018,3
170317105001000,1
170317107002001,2
170317108004005,2
170317108004007,1
170317111002023,1
170317112001000,2
170317112001020,1
170317113001006,1
170317114001003,1
170317201001021,1
170317201001024,3
170317201002010,1
170317201002016,2
170317201002034,1
170317202001003,1
170317202001009,1
170317202002005,1
170317202003040,1
170317203001000,2
170317203002001,1
170317203002004,1
170317203002005,1
170317203003006,1
170317203003021,1
170317203003022,2
170317203004008,37
170317204001000,1
170317204001008,1
170317205002014,1
170317205002015,1
170317206002012,1
170317206002013,3
170317207002001,9
170317301002022,3
170317304001019,1
170317304003000,4
170317401001023,1
170317401004004,3
170317401004019,5
170317402001014,1
170317402004000,1
170317402004015,1
170317403001022,6
170317403002008,2
170317403003021,1
170317404002006,2
170317501001010,3
170317501001012,2
170317502002000,2
170317502003007,2
170317502004009,1
170317503003016,1
170317504001033,2
170317504002004,2
170317504002017,1
170317505003012,1
170317505003025,4
170317608011001,1
170317608011012,4
170317608012005,11
170317608012012,1
170317608021009,1
170317702012004,6
170317702012009,16
170317702012014,1
170317702013003,23
170317702013014,1
170317702013026,1
170317702013027,2
170317702021021,6
170317702022008,1
170317702022092,180
170317702023027,2
170317702023032,1
170317704001021,1
170317704001034,2
170317705002015,3
170317705002018,1
170317705002049,1
170317706012001,1
170317706013000,2
170317706022008,1
170317706022015,1
170317707002037,1
170317707002038,2
170317708001037,1
170317709012003,1
170317709012010,1
170317709013000,3
170317709013012,1
170317709021015,1
170317709022000,1
170317709022024,1
170318001001013,1
170318001001015,1
170318001002012,1
170318002001023,2
170318002002020,1
170318002002024,2
170318002005014,1
170318002006035,1
170318003001002,1
170318003001015,1
170318003002003,2
170318003002011,1
170318003003009,1
170318004001021,1
170318004002007,3
170318004002008,5
170318004002010,1
170318004002020,3
170318005001016,1
170318005001026,3
170318005001030,4
170318005002012,1
170318005003004,1
170318006002006,3
170318006002009,4
170318006002015,3
170318007002000,1
170318007002010,2
170318007002012,3
170318007004003,1
170318007004021,4
170318008001009,1
170318008001010,2
170318008001038,2
170318008001040,1
170318008001067,1
170318008001071,1
170318008001072,2
170318008001076,2
170318009002005,1
170318009003001,1
170318009003009,1
170318009003010,1
170318010001000,2
170318010003014,1
170318010004011,4
170318011002013,1
170318011003014,1
170318012001000,13
170318012002011,1
170318012003004,1
170318012003005,1
170318013002011,1
170318013002012,2
170318013003005,1
170318013003015,1
170318013003020,1
170318013004021,2
170318013004024,4
170318013004026,1
170318014001007,1
170318014001014,2
170318014002012,3
170318015001011,1
170318015001012,9
170318015001023,1
170318015001039,9
170318015001047,8
170318015001049,1
170318015001051,2
170318015001052,11
170318015001061,12
170318015001065,5
170318015001066,10
170318015001067,2
170318015001079,15
170318015002025,2
170318015003000,2
170318015003001,8
170318015003044,7
170318015003049,1
170318015003050,5
170318016011085,3
170318016011086,1
170318016011088,1
170318016011096,13
170318016011106,3
170318016011119,1
170318016012000,1
170318016012004,1
170318016012024,2
170318016012030,1
170318016031016,1
170318016031018,2
170318016031022,1
170318016031032,1
170318016031034,1
170318016032012,2
170318016053004,1
170318016053009,1
170318016055000,5
170318016055002,1
170318016062002,1
170318016062023,1
170318016063004,1
170318016065013,2
170318016071007,1
170318016071011,1
170318016071023,25
170318016071024,29
170318016072008,20
170318016072010,46
170318016072019,1
170318016073000,1
170318016073015,1
170318016081000,3
170318016082006,1
170318016082020,1
170318016084003,2
170318016084008,1
170318016084017,1
170318016084022,1
170318016084023,1
170318016084025,1
170318017022004,2
170318017022005,4
170318017022006,2
170318017022007,1
170318017023001,1
170318017023007,5
170318017023008,4
170318017023019,7
170318018001009,2
170318018001024,1
170318018001028,2
170318018001081,1
170318018002040,9
170318018003010,1
170318018004000,3
170318019011000,33
170318019011001,8
170318019011021,1
170318019011042,1
170318019012002,1
170318019012026,1
170318019013018,13
170318019021009,1
170318019023002,3
170318019023003,1
170318019023005,12
170318020022025,1
170318020041009,1
170318020043001,1
170318020043014,1
170318021002009,1
170318022001010,1
170318022002000,1
170318022002010,2
170318022002011,8
170318022003009,2
170318022003015,1
170318022003016,1
170318023001000,58
170318023001003,21
170318023001014,1
170318023001023,5
170318023001031,1
170318023001040,1
170318023001041,1
170318023001069,1
170318024022011,1
170318024022017,2
170318024023000,1
170318024023003,14
170318024041008,6
170318024043009,1
170318024043010,1
170318024043011,3
170318025032000,2
170318025032006,1
170318025032010,1
170318025041000,1
170318025051008,1
170318025051031,1
170318025061003,3
170318025062000,1
170318025062003,3
170318025062010,3
170318026052003,1
170318026052022,6
170318026071030,1
170318026081002,3
170318026084000,2
170318027012000,1
170318027021000,6
170318027021020,7
170318027021021,1
170318027021024,2
170318028011006,1
170318028012003,1
170318028014007,16
170318028021009,1
170318028021010,1
170318028024012,1
170318028024025,2
170318028025016,2
170318028025027,4
170318029001004,7
170318029004002,25
170318029004003,1
170318030052000,1
170318030052002,1
170318030052006,8
170318030052009,2
170318030052010,8
170318030052014,2
170318030052019,1
170318030052022,23
170318030052023,4
170318030052024,11
170318030071002,3
170318030071003,4
170318030072009,1
170318030081009,2
170318030102001,1
170318030102002,19
170318030104001,4
170318030131015,2
170318030131016,1
170318030132021,2
170318030151006,1
170318030153036,2
170318030171000,1
170318030171010,4
170318030172005,27
170318031001002,2
170318031001014,9
170318031001015,8
170318032001033,1
170318032002023,4
170318033001031,2
170318033002009,1
170318033002010,1
170318033002017,2
170318033003027,3
170318033003030,1
170318033003031,1
170318033003043,1
170318033003046,1
170318034004009,10
170318034004021,6
170318034005010,1
170318034006008,3
170318034006011,1
170318034006012,1
170318035003017,2
170318035003018,19
170318035003025,36
170318035003030,147
170318035005007,1
170318035005008,17
170318036032030,1
170318036041001,3
170318036041011,4
170318036041012,2
170318036041013,10
170318036042002,1
170318036042005,1
170318036043000,1
170318036051000,1
170318036054000,2
170318036062003,3
170318036063004,2
170318036064004,1
170318036081062,2
170318036083000,2
170318036104028,1
170318036122011,2
170318037011000,4
170318037011001,2
170318037011021,2
170318037012000,7
170318037023000,1
170318037023015,3
170318038001004,1
170318038002015,2
170318038003000,8
170318038003002,2
170318038003006,2
170318039011005,5
170318039011006,3
170318039011010,1
170318039012054,1
170318039012066,8
170318039012069,1
170318039012086,3
170318040002007,2
170318041022010,3
170318041022036,5
170318041023002,1
170318041042000,1
170318041051008,1
170318041051016,4
170318041053005,1
170318041061009,1
170318041062025,2
170318041062031,2
170318041064002,3
170318041064005,2
170318041091004,1
170318041091029,1
170318042011000,2
170318042012005,1
170318042012007,2
170318042012013,1
170318042012088,1
170318042012178,6
170318042013006,1
170318042013015,1
170318042013024,15
170318042013052,10
170318042014002,1
170318042014018,1
170318042021003,1
170318042021007,1
170318042021008,1
170318042021012,1
170318042022039,1
170318042022047,3
170318042022069,1
170318042022073,2
170318042022076,2
170318042023005,1
170318042024055,2
170318042024065,1
170318043052014,1
170318043061009,2
170318043082019,3
170318043083007,1
170318043092018,1
170318043101029,2
170318043102018,1
170318043103008,2
170318043111050,1
170318043111052,1
170318043111054,1
170318044031012,7
170318044044001,7
170318044051021,1
170318044052003,2
170318045051007,1
170318045051016,1
170318045053004,2
170318045053005,6
170318045053007,2
170318045053009,1
170318045053020,2
170318045053022,2
170318045062000,5
170318045063002,3
170318045081000,5
170318045092000,1
170318045093000,2
170318045101001,1
170318045101003,8
170318045101012,2
170318045111006,3
170318045112000,1
170318046031026,2
170318046031029,2
170318046031033,2
170318046031039,6
170318046031047,1
170318046031055,1
170318046032000,3
170318046032025,1
170318046032026,1
170318046033003,7
170318046033005,1
170318046033012,4
170318046033014,5
170318046033024,2
170318046033039,4
170318046033040,4
170318046033047,1
170318046033050,11
170318046033057,1
170318046033064,1
170318046033065,6
170318046033066,6
170318046033073,1
170318046033077,32
170318046033078,3
170318046033085,8
170318046061008,1
170318046061009,1
170318046061011,1
170318046062022,1
170318046063021,1
170318046072000,1
170318046074005,1
170318046083011,1
170318046083018,1
170318046092002,1
170318046092003,1
170318046101000,5
170318046101003,2
170318046112003,10
170318046112005,2
170318046112009,1
170318047011003,9
170318047011006,1
170318047012005,9
170318047013018,1
170318047013019,3
170318047013035,4
170318047013048,151
170318047013049,8
170318047013052,12
170318047013067,1
170318047013069,1
170318047013072,1
170318047014028,2
170318047014030,25
170318047061004,8
170318047062006,14
170318047062010,1
170318047091003,7
170318047091014,1
170318047091019,2
170318047091027,1
170318047093008,1
170318047094002,15
170318047111003,1
170318047112001,1
170318047113015,2
170318047131001,2
170318047134010,1
170318047142022,10
170318047142023,2
170318047152006,1
170318047152008,4
170318047162010,1
170318048031002,2
170318048032002,5
170318048041001,1
170318048042000,5
170318048042013,1
170318048044003,1
170318048044009,2
170318048051003,3
170318048054027,3
170318048063008,1
170318048073020,2
170318048092016,1
170318048101000,3
170318048103003,1
170318048103004,16
170318048103010,2
170318048103013,1
170318048104006,2
170318049011023,1
170318049012006,1
170318049012009,1
170318049012020,2
170318049012022,1
170318049014000,1
170318049015001,3
170318049015004,1
170318049015015,2
170318049022018,2
170318050011000,7
170318050014010,1
170318050021016,4
170318050022003,4
170318051053000,6
170318051053001,1
170318051053006,1
170318051053021,2
170318051053023,2
170318051054015,9
170318051054022,9
170318051054024,6
170318051062000,12
170318051062015,1
170318051062018,2
170318051071001,2
170318051072000,15
